tenure_months,monthly_usage_hours,has_multiple_devices,customer_support_calls,payment_failures,is_premium_plan,churn
39,30.953927571053505,0,1,0,0,0
52,20.485203136222445,0,0,0,0,0
29,21.684461823477243,0,1,1,0,0
15,27.89428060186742,0,1,0,1,0
43,19.250189885518644,1,1,0,0,0
8,23.395960709620894,0,2,1,1,0
21,14.324199351570874,1,0,0,0,0
39,18.44580425862501,1,0,0,0,0
58,25.780573083226535,0,1,0,1,0
19,16.409021831061885,0,5,0,0,0
23,19.359744106351613,0,3,0,1,0
11,12.128951771989403,0,2,0,0,0
11,30.028841472548184,0,1,0,0,0
24,26.315140349084515,0,3,0,0,0
53,20.940497830763743,1,2,0,0,0
36,22.53756436041164,0,1,0,0,0
40,21.97949053471684,0,0,0,0,0
24,26.92155876515393,1,1,0,0,0
3,17.405999788143138,1,2,0,0,0
22,23.66133809964116,0,1,0,0,0
53,25.387082494260866,0,2,0,0,0
2,26.076629852382283,1,1,0,0,0
24,8.703145580841511,1,0,0,1,0
44,17.00362760867428,0,1,0,1,0
30,14.90414689349048,1,2,0,0,0
38,20.74794142785343,0,2,0,0,0
2,9.919848902428638,0,0,0,0,1
21,9.771885545271985,1,2,0,0,0
33,30.8504749593813,0,0,0,1,0
12,23.088446941316704,1,1,0,1,0
58,20.605046215994058,0,3,0,1,0
22,21.818363239194912,1,2,0,0,0
44,20.731704618745898,0,5,0,0,0
25,24.98675328275763,0,2,0,1,0
49,16.837779039680107,1,1,0,0,0
27,20.933074130367846,0,1,0,0,0
59,21.13710633968858,1,1,1,0,0
42,14.765710207708311,1,2,0,1,0
28,26.384915295315263,1,2,0,0,0
16,17.77161630049295,1,0,0,0,0
15,25.087108349044506,1,1,0,0,0
47,20.5745636318574,0,3,0,0,0
51,28.16792416204529,0,1,0,0,0
44,14.793104557392379,0,2,0,0,0
55,14.57620599244775,0,0,0,0,0
52,15.471522044978457,1,0,0,0,0
57,20.666477752571872,0,2,1,1,0
3,27.707341978891026,0,2,0,1,0
37,27.965468090826253,1,1,1,0,0
51,8.4501569978078,0,1,0,0,0
